docking_score_CHEMPLP_1DB1,docking_score_london_1DB1,docking_score_ASE_1DB1,docking_score_AHB_1DB1,docking_score_AdG_1DB1,docking_score_CHEMPLP_3KPZ,docking_score_london_3KPZ,docking_score_ASE_3KPZ,docking_score_AHB_3KPZ,docking_score_AdG_3KPZ
31.828493,0.58344114,1.8539966,45.831985,1.7470098,2.3381422,0.55180216,1.808842,51.00799,1.656971
31.67913,0.499039,1.7992908,44.547825,1.5515163,1.9003435,0.5052778,1.761058,54.110344,1.8805189
30.730806,0.5874125,1.9861529,48.56038,2.0699463,2.3979244,0.6111426,2.0090806,54.223248,2.0170581
30.336151,0.5625641,1.8754293,51.91009,1.8482541,2.1884487,0.55064034,1.8416686,58.049583,1.9141136
32.891342,0.58144695,1.7776088,47.940273,1.8099751,2.7659447,0.5729985,1.7301772,58.25012,1.9919528
32.42912,0.5723152,1.7450184,42.716236,2.0890667,2.4897008,0.59221756,1.6482464,51.029312,2.0889354
31.8001,0.57754165,1.8810517,45.776688,1.8715371,2.2075038,0.5497845,1.8138921,51.82085,2.046861
31.875732,0.5167408,1.6782429,38.837856,1.3979836,2.414489,0.5366057,1.6567976,47.826515,1.6838745
30.716171,0.5474127,1.8498482,45.081238,1.8059099,2.3162723,0.5349461,1.7996174,53.388462,1.9215996
27.981388,0.609774,1.8313613,45.888966,1.7934157,2.1661654,0.58695686,1.793976,53.867615,1.9499875
